step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb
60,809.9819602966309,-0.0947265625,-0.0947265625,0.0,0.0,256.0,0.0,0.0011133253574371338,-0.0003283470869064331,0.002166748046875,1.9798247814178467,-0.0013997852802276611,0.0,-0.0947265625,0.02587890625,-0.11328125,-0.07666015625,-0.058349609375,0.041748046875,37.46552576
61,822.9828450679779,-0.10546875,-0.10546875,0.0,0.0,256.0,0.0,0.29119887948036194,0.0009269267320632935,0.576171875,2.7185018062591553,0.0011740326881408691,0.0,-0.10546875,0.038330078125,-0.1328125,-0.07861328125,-0.271484375,0.99609375,37.46552576
62,839.5075566768646,-0.12890625,-0.12890625,0.0,0.0,256.0,0.0,0.5856918692588806,-0.0039119720458984375,1.16796875,1.989404559135437,-0.00012093782424926758,0.0,-0.12890625,0.0269775390625,-0.1474609375,-0.109375,1.0078125,0.5390625,37.46552576
63,855.7351410388947,-0.103515625,-0.103515625,0.0,0.0,256.0,0.0,0.026921749114990234,0.0006972253322601318,0.052490234375,3.0328118801116943,-0.00011247396469116211,0.0,-0.103515625,0.03759765625,-0.1298828125,-0.07666015625,-0.0595703125,0.310546875,37.46552576
64,868.7474167346954,-0.1103515625,-0.1103515625,0.0,0.0,256.0,0.0,0.13523370027542114,-0.000645071268081665,0.263671875,3.5495998859405518,0.0012721717357635498,0.0,-0.1103515625,0.00933837890625,-0.1171875,-0.10400390625,0.49609375,0.16015625,37.46552576
65,882.1525211334229,-0.0810546875,-0.0810546875,0.0,0.0,256.0,0.0,1.3063000440597534,0.0006348788738250732,2.59375,2.7144880294799805,5.358457565307617e-05,0.0,-0.0810546875,0.04248046875,-0.11083984375,-0.05078125,0.19140625,2.25,37.46552576
66,895.1593477725983,-0.080078125,-0.080078125,0.0,0.0,256.0,0.0,0.2686457335948944,-0.0011627823114395142,0.54296875,2.023894786834717,-0.00025291740894317627,0.0,-0.080078125,0.0224609375,-0.095703125,-0.06396484375,-0.515625,0.7421875,37.46552576
67,908.2312831878662,-0.07861328125,-0.07861328125,0.0,0.0,256.0,0.0,0.12811335921287537,0.013269543647766113,0.2333984375,2.652107000350952,-0.0018620491027832031,0.0,-0.07861328125,0.068359375,-0.126953125,-0.0303955078125,0.46875,0.0732421875,37.46552576
68,921.7266216278076,-0.06396484375,-0.06396484375,0.0,0.0,256.0,0.0,0.10092806816101074,0.007344171404838562,0.19775390625,1.8788337707519531,0.0008393526077270508,0.0,-0.06396484375,0.0225830078125,-0.080078125,-0.048095703125,-0.43359375,0.1533203125,37.46552576
69,934.7098505496979,-0.125,-0.125,0.0,0.0,256.0,0.0,0.20636126399040222,-0.010255709290504456,0.44140625,2.6288764476776123,0.0013645291328430176,0.0,-0.125,0.0079345703125,-0.130859375,-0.11962890625,-0.640625,0.1962890625,37.46552576
70,947.7529695034027,-0.1171875,-0.1171875,0.0,0.0,256.0,0.0,0.06178891658782959,0.012818172574043274,0.097412109375,1.8172286748886108,8.134543895721436e-05,0.0,-0.1171875,0.0037994384765625,-0.11962890625,-0.1142578125,0.328125,0.07861328125,37.46552576
71,960.7913291454315,-0.103515625,-0.103515625,0.0,0.0,256.0,0.0,0.4771879315376282,-0.0005034655332565308,0.951171875,2.8888165950775146,-0.0009401142597198486,0.0,-0.103515625,0.0595703125,-0.1455078125,-0.061279296875,0.5546875,1.1484375,37.46552576
72,973.8851134777069,-0.091796875,-0.091796875,0.0,0.0,256.0,0.0,0.503605842590332,2.911686897277832e-05,1.0078125,3.594109535217285,-0.0001315474510192871,0.0,-0.091796875,0.01483154296875,-0.1025390625,-0.08154296875,-0.3828125,1.328125,37.46552576
73,986.900918006897,-0.15234375,-0.15234375,0.0,0.0,256.0,0.0,0.9189548492431641,0.0010368376970291138,1.83203125,3.2932827472686768,-0.0009144842624664307,0.0,-0.15234375,0.02001953125,-0.166015625,-0.1376953125,1.171875,1.015625,37.46552576
74,1000.1992421150208,-0.08544921875,-0.08544921875,0.0,0.0,256.0,0.0,0.19538921117782593,-0.0019387751817703247,0.3935546875,3.513746500015259,8.666515350341797e-05,0.0,-0.08544921875,0.024169921875,-0.1025390625,-0.068359375,0.427734375,0.6640625,37.46552576
75,1013.1436562538147,-0.1533203125,-0.1533203125,0.0,0.0,256.0,0.0,0.47473543882369995,-0.0015763789415359497,0.96875,3.335017442703247,-0.0008759498596191406,0.0,-0.1533203125,0.040283203125,-0.181640625,-0.12451171875,0.62890625,1.0703125,37.46552576
76,1026.215572834015,-0.1171875,-0.1171875,0.0,0.0,256.0,0.0,0.3564026355743408,-0.0005547553300857544,0.708984375,2.0236904621124268,6.701052188873291e-05,0.0,-0.1171875,0.021728515625,-0.1328125,-0.10205078125,0.60546875,0.8359375,37.46552576
77,1039.1841068267822,-0.0908203125,-0.0908203125,0.0,0.0,256.0,0.0,0.0670008659362793,-0.0009745359420776367,0.12890625,2.6909074783325195,-0.0017088055610656738,0.0,-0.0908203125,0.0234375,-0.107421875,-0.07421875,0.16796875,0.4453125,37.46552576
78,1052.2020967006683,-0.130859375,-0.130859375,0.0,0.0,256.0,0.0,0.593472957611084,-0.00030815601348876953,1.171875,2.765909433364868,-0.000149458646774292,0.0,-0.130859375,0.032470703125,-0.1533203125,-0.107421875,0.40625,1.421875,37.46552576
79,1065.173833847046,-0.0927734375,-0.0927734375,0.0,0.0,256.0,0.0,0.06306013464927673,0.0005291104316711426,0.1201171875,4.06455659866333,0.002857983112335205,0.0,-0.0927734375,0.004486083984375,-0.095703125,-0.08935546875,0.0859375,0.455078125,37.46552576
80,1078.14883518219,-0.134765625,-0.134765625,0.0,0.0,256.0,0.0,0.32417553663253784,0.0005039721727371216,0.658203125,3.680450439453125,-0.0008033812046051025,0.0,-0.134765625,0.045166015625,-0.1669921875,-0.10302734375,-0.318359375,1.0625,37.46552576
81,1094.2008826732635,-0.08642578125,-0.08642578125,0.0,0.0,256.0,0.0,0.3910802900791168,0.0013683736324310303,0.775390625,3.7348759174346924,-0.0004309415817260742,0.0,-0.08642578125,0.0311279296875,-0.1083984375,-0.064453125,0.005859375,1.2578125,37.46552576
82,1107.1827881336212,-0.0771484375,-0.0771484375,0.0,0.0,256.0,0.0,0.08665737509727478,-0.0001757889986038208,0.17724609375,3.6662371158599854,0.0019083619117736816,0.0,-0.0771484375,0.01068115234375,-0.0849609375,-0.06982421875,0.384765625,0.2294921875,37.46552576
83,1120.2264847755432,-0.11328125,-0.11328125,0.0,0.0,256.0,0.0,0.4995308220386505,-0.0003837794065475464,0.98046875,3.053664445877075,0.0012077689170837402,0.0,-0.11328125,0.0439453125,-0.14453125,-0.08251953125,0.7421875,0.9609375,37.46552576
84,1133.3902418613434,-0.1484375,-0.1484375,0.0,0.0,256.0,0.0,1.033947467803955,0.002489805221557617,2.0859375,2.9458117485046387,-0.0020637214183807373,0.0,-0.1484375,0.00689697265625,-0.1533203125,-0.1435546875,-0.703125,1.796875,37.46552576
85,1146.3438413143158,-0.1494140625,-0.1494140625,0.0,0.0,256.0,0.0,2.263240098953247,-0.001172766089439392,4.5,2.815303087234497,0.0010873377323150635,0.0,-0.1494140625,0.005523681640625,-0.1533203125,-0.1455078125,0.203125,2.984375,37.46552576
86,1159.3682684898376,-0.080078125,-0.080078125,0.0,0.0,256.0,0.0,0.2536277770996094,0.0005648136138916016,0.515625,3.7155652046203613,-0.0026592910289764404,0.0,-0.080078125,0.000690460205078125,-0.08056640625,-0.07958984375,0.365234375,0.87109375,37.46552576
87,1172.5642240047455,-0.1318359375,-0.1318359375,0.0,0.0,256.0,0.0,0.29599201679229736,-0.0051290541887283325,0.603515625,4.062299728393555,0.000750422477722168,0.0,-0.1318359375,0.02587890625,-0.150390625,-0.11376953125,0.6484375,0.58203125,37.46552576
88,1185.7260456085205,-0.1513671875,-0.1513671875,0.0,0.0,256.0,0.0,0.040915995836257935,-0.0002844482660293579,0.08642578125,2.3719606399536133,-0.001329854130744934,0.0,-0.1513671875,0.0234375,-0.16796875,-0.134765625,-0.1728515625,0.314453125,37.46552576
89,1199.504949092865,-0.138671875,-0.138671875,0.0,0.0,256.0,0.0,0.9812029600143433,0.000542566180229187,1.98046875,4.406604290008545,4.285573959350586e-05,0.0,-0.138671875,0.06689453125,-0.1865234375,-0.091796875,-0.44921875,1.8984375,37.46552576
90,1212.5991146564484,-0.1328125,-0.1328125,0.0,0.0,256.0,0.0,0.22823673486709595,-1.4290213584899902e-05,0.4541015625,4.9433794021606445,-0.003077387809753418,0.0,-0.1328125,0.02587890625,-0.1513671875,-0.11474609375,-0.59765625,0.46875,37.46552576
91,1225.5340123176575,-0.1484375,-0.1484375,0.0,0.0,256.0,0.0,0.14004716277122498,-0.010433435440063477,0.2919921875,2.415297031402588,-0.0031250566244125366,0.0,-0.1484375,0.027587890625,-0.16796875,-0.12890625,-0.5234375,0.212890625,37.46552576
92,1238.4761669635773,-0.11181640625,-0.11181640625,0.0,0.0,256.0,0.0,0.2130979299545288,-0.0007949173450469971,0.44140625,4.367367267608643,-0.0006896853446960449,0.0,-0.11181640625,0.042236328125,-0.1416015625,-0.08203125,-0.4921875,0.640625,37.46552576
93,1251.4331805706024,-0.1572265625,-0.1572265625,0.0,0.0,256.0,0.0,0.17795786261558533,-0.0026535987854003906,0.3662109375,3.7197721004486084,-0.0023747682571411133,0.0,-0.1572265625,0.005523681640625,-0.1611328125,-0.1533203125,-0.5078125,0.466796875,37.46552576
94,1264.4578185081482,-0.1103515625,-0.1103515625,0.0,0.0,256.0,0.0,0.012340277433395386,0.0003615468740463257,0.0262451171875,4.4977521896362305,-6.4849853515625e-05,0.0,-0.1103515625,0.038330078125,-0.1376953125,-0.08349609375,-0.0224609375,0.2392578125,37.46552576
95,1277.4391844272614,-0.1591796875,-0.1591796875,0.0,0.0,256.0,0.0,0.36151671409606934,-0.0004295855760574341,0.720703125,4.160006523132324,-0.00135040283203125,0.0,-0.1591796875,0.0096435546875,-0.166015625,-0.15234375,0.181640625,1.1875,37.46552576
96,1290.8228585720062,-0.1123046875,-0.1123046875,0.0,0.0,256.0,0.0,0.3141957223415375,-0.0013982653617858887,0.623046875,5.0801825523376465,0.0009521245956420898,0.0,-0.1123046875,0.01275634765625,-0.12158203125,-0.103515625,0.74609375,0.337890625,37.46552576
97,1303.844443321228,-0.140625,-0.140625,0.0,0.0,256.0,0.0,0.08069097995758057,0.04007259011268616,0.083984375,4.24863338470459,0.00016266107559204102,0.0,-0.140625,0.04931640625,-0.17578125,-0.10595703125,-0.28125,0.0234375,37.46552576
98,1316.8334486484528,-0.130859375,-0.130859375,0.0,0.0,256.0,0.0,0.886752724647522,0.0001942366361618042,1.76171875,4.546901702880859,0.0030769705772399902,0.0,-0.130859375,0.02587890625,-0.1494140625,-0.11279296875,0.640625,1.6328125,37.46552576
